,Feature_A,Feature_B,Correlation
57,pid,bsmtfullbath,-0.03775944103600337
58,pid,bsmthalfbath,0.004328290538918271
59,pid,fullbath,-0.17143124769338158
60,pid,halfbath,-0.1666361434436913
61,pid,bedroomabvgr,0.006345185625457015
62,pid,kitchenabvgr,0.07646952140916928
63,pid,totrmsabvgrd,-0.06898067756166136
64,pid,fireplaces,-0.10805550581450518
65,pid,garageyrblt,-0.2568287325595379
66,pid,garagecars,-0.23748369261315222
67,pid,garagearea,-0.21060592022200308
68,pid,wooddecksf,-0.05113497005336165
69,pid,openporchsf,-0.07131061096241692
70,pid,enclosedporch,0.1625190962445112
71,pid,3ssnporch,-0.024893931154063815
72,pid,screenporch,-0.025734731199641276
73,pid,poolarea,-0.002845341854371687
74,pid,miscval,-0.008260203455585875
75,pid,mosold,-0.050454500470866706
76,pid,yrsold,0.009579226708180049
77,pid,saleprice,-0.2465212128667364
78,mssubclass,ames_order,0.011797142632671452
79,mssubclass,pid,-0.0012813655030208678
80,mssubclass,mssubclass,1.0
81,mssubclass,lotfrontage,-0.4201352688628105
82,mssubclass,lotarea,-0.20461309612719117
83,mssubclass,overallqual,0.03941873729500411
84,mssubclass,overallcond,-0.06734922010031978
85,mssubclass,yearbuilt,0.03657892585201719
86,mssubclass,yearremodadd,0.04339651434757868
87,mssubclass,masvnrarea,0.0027301532423836448
88,mssubclass,bsmtfinsf1,-0.060075257238916886
89,mssubclass,bsmtfinsf2,-0.07094585513337878
90,mssubclass,bsmtunfsf,-0.1304210774974892
91,mssubclass,totalbsmtsf,-0.21944515117424987
92,mssubclass,1stflrsf,-0.24782811989387057
93,mssubclass,2ndflrsf,0.30423679937155745
94,mssubclass,lowqualfinsf,0.02576537263813149
95,mssubclass,grlivarea,0.06806085571118654
96,mssubclass,bsmtfullbath,0.013701478559147665
97,mssubclass,bsmthalfbath,-0.003329286177544196
98,mssubclass,fullbath,0.13463133168940303
99,mssubclass,halfbath,0.17587916599124262
100,mssubclass,bedroomabvgr,-0.019208095446001695
101,mssubclass,kitchenabvgr,0.2576983920042202
102,mssubclass,totrmsabvgrd,0.03189835577744859
103,mssubclass,fireplaces,-0.049955356647429935
104,mssubclass,garageyrblt,0.08875432398772047
105,mssubclass,garagecars,-0.04588292716366817
106,mssubclass,garagearea,-0.1032386811136395
107,mssubclass,wooddecksf,-0.017309823365428845
108,mssubclass,openporchsf,-0.014822575001911857
109,mssubclass,enclosedporch,-0.02286559581869786
110,mssubclass,3ssnporch,-0.03795583449675641
111,mssubclass,screenporch,-0.050613997363357546
112,mssubclass,poolarea,-0.0034342130872427015
113,mssubclass,miscval,-0.029254485436009694
114,mssubclass,mosold,0.0003504190057662918
115,mssubclass,yrsold,-0.017905477247845913
116,mssubclass,saleprice,-0.08509157560995878
117,lotfrontage,ames_order,-0.007033889261364624
118,lotfrontage,pid,-0.09691787910621243
119,lotfrontage,mssubclass,-0.4201352688628105
120,lotfrontage,lotfrontage,1.0
121,lotfrontage,lotarea,0.4913133502043098
122,lotfrontage,overallqual,0.2120416779939248
123,lotfrontage,overallcond,-0.07444844524055635
124,lotfrontage,yearbuilt,0.12156217873601674
125,lotfrontage,yearremodadd,0.09171187353169573
126,lotfrontage,masvnrarea,0.22240657772323372
127,lotfrontage,bsmtfinsf1,0.21558328505429644
128,lotfrontage,bsmtfinsf2,0.045998934427213485
129,lotfrontage,bsmtunfsf,0.11674279494475429
130,lotfrontage,totalbsmtsf,0.35377268636732623
131,lotfrontage,1stflrsf,0.4573914540102983
132,lotfrontage,2ndflrsf,0.029186790600845933
133,lotfrontage,lowqualfinsf,0.005249298822789165
134,lotfrontage,grlivarea,0.38382172479666404
135,lotfrontage,bsmtfullbath,0.1089153769324406
136,lotfrontage,bsmthalfbath,-0.024723809963396525
137,lotfrontage,fullbath,0.1845210070115084
138,lotfrontage,halfbath,0.04187994977255485
139,lotfrontage,bedroomabvgr,0.2404419389378976
140,lotfrontage,kitchenabvgr,0.005407222510146038
141,lotfrontage,totrmsabvgrd,0.3531372966156298
142,lotfrontage,fireplaces,0.2572552130021183
143,lotfrontage,garageyrblt,0.07630641437587243
144,lotfrontage,garagecars,0.3087056763819581
145,lotfrontage,garagearea,0.3585053420557823
146,lotfrontage,wooddecksf,0.12008401266565305
147,lotfrontage,openporchsf,0.16304025358986035
148,lotfrontage,enclosedporch,0.012758348017812607
149,lotfrontage,3ssnporch,0.028564426298503517
150,lotfrontage,screenporch,0.07666619866298344
151,lotfrontage,poolarea,0.17394667773562833
152,lotfrontage,miscval,0.044475787217933854
153,lotfrontage,mosold,0.011085200129935736
154,lotfrontage,yrsold,-0.0075472241770496275
155,lotfrontage,saleprice,0.35731791014236447
156,lotarea,ames_order,0.03135406362457019
157,lotarea,pid,0.0348679288054725
158,lotarea,mssubclass,-0.20461309612719117
159,lotarea,lotfrontage,0.4913133502043098
160,lotarea,lotarea,1.0
161,lotarea,overallqual,0.09718840011686383
162,lotarea,overallcond,-0.03475889806756826
163,lotarea,yearbuilt,0.02325849527473394
164,lotarea,yearremodadd,0.021682218874783648
165,lotarea,masvnrarea,0.12682983005484705
166,lotarea,bsmtfinsf1,0.1915554435224191
167,lotarea,bsmtfinsf2,0.083149512386996
168,lotarea,bsmtunfsf,0.023658474799269393
169,lotarea,totalbsmtsf,0.25358856566694377
170,lotarea,1stflrsf,0.33223498083235187
171,lotarea,2ndflrsf,0.03299629146226493
172,lotarea,lowqualfinsf,0.0008121347764994829
173,lotarea,grlivarea,0.2855992141342612
174,lotarea,bsmtfullbath,0.12587726547710226
175,lotarea,bsmthalfbath,0.026903072476336238
176,lotarea,fullbath,0.1274330111246987
177,lotarea,halfbath,0.0354974529259759
178,lotarea,bedroomabvgr,0.13656879282393236
179,lotarea,kitchenabvgr,-0.020300505043239037
180,lotarea,totrmsabvgrd,0.21659664514866006
181,lotarea,fireplaces,0.2569891136979704
182,lotarea,garageyrblt,-0.008952151990981823
183,lotarea,garagecars,0.1795123888497797
184,lotarea,garagearea,0.21282163987754882
185,lotarea,wooddecksf,0.15721221858677834
186,lotarea,openporchsf,0.10375977906592634
187,lotarea,enclosedporch,0.0218681784276207
188,lotarea,3ssnporch,0.01624313737485733
189,lotarea,screenporch,0.05504412118658563
190,lotarea,poolarea,0.0937754261556487
191,lotarea,miscval,0.06918820846271456
192,lotarea,mosold,0.003858589144437019
193,lotarea,yrsold,-0.023085094359836265
194,lotarea,saleprice,0.26654922032842987
195,overallqual,ames_order,-0.04850048385466136
196,overallqual,pid,-0.2631469441817053
197,overallqual,mssubclass,0.03941873729500411
198,overallqual,lotfrontage,0.2120416779939248
199,overallqual,lotarea,0.09718840011686383
200,overallqual,overallqual,1.0
201,overallqual,overallcond,-0.09481187717199721
202,overallqual,yearbuilt,0.5970272028295865
203,overallqual,yearremodadd,0.5696087842620875
204,overallqual,masvnrarea,0.42941797229304063
205,overallqual,bsmtfinsf1,0.2841179983741233
206,overallqual,bsmtfinsf2,-0.04128705173071736
207,overallqual,bsmtunfsf,0.2700580054847201
208,overallqual,totalbsmtsf,0.5472940489040146
209,overallqual,1stflrsf,0.47783707269186415
210,overallqual,2ndflrsf,0.241401692154844
211,overallqual,lowqualfinsf,-0.04867982655391361
212,overallqual,grlivarea,0.5705558566643723
213,overallqual,bsmtfullbath,0.1678581238935048
214,overallqual,bsmthalfbath,-0.04164656884197478
215,overallqual,fullbath,0.5222625683015596
216,overallqual,halfbath,0.2688533357370495
217,overallqual,bedroomabvgr,0.06329104421957787
218,overallqual,kitchenabvgr,-0.15974423976347515
219,overallqual,totrmsabvgrd,0.3806928383741777
220,overallqual,fireplaces,0.3930069224319971
221,overallqual,garageyrblt,0.570569276294685
222,overallqual,garagecars,0.5995448995511717
223,overallqual,garagearea,0.5635025491286402
224,overallqual,wooddecksf,0.2556625377930354
225,overallqual,openporchsf,0.2984121708274674
226,overallqual,enclosedporch,-0.14033206109692867
227,overallqual,3ssnporch,0.018240317304361667
228,overallqual,screenporch,0.04161473736062025
229,overallqual,poolarea,0.03039945406195727
230,overallqual,miscval,0.005179104212324671
231,overallqual,mosold,0.031103443541629576
232,overallqual,yrsold,-0.020719457862840233
233,overallqual,saleprice,0.7992617947690226
234,overallcond,ames_order,-0.011054421579957634
235,overallcond,pid,0.10445061899010206
236,overallcond,mssubclass,-0.06734922010031978
237,overallcond,lotfrontage,-0.07444844524055635
238,overallcond,lotarea,-0.03475889806756826
239,overallcond,overallqual,-0.09481187717199721
240,overallcond,overallcond,1.0
241,overallcond,yearbuilt,-0.3687731214135405
242,overallcond,yearremodadd,0.047680262885594786
243,overallcond,masvnrarea,-0.13534034144352436
244,overallcond,bsmtfinsf1,-0.05093499336002795
245,overallcond,bsmtfinsf2,0.04113362846385989
246,overallcond,bsmtunfsf,-0.1368186783595517
247,overallcond,totalbsmtsf,-0.17334407740809746
248,overallcond,1stflrsf,-0.1570515117761974
249,overallcond,2ndflrsf,0.006218180585993943
250,overallcond,lowqualfinsf,0.009174695376387276
251,overallcond,grlivarea,-0.11564253505458724
252,overallcond,bsmtfullbath,-0.042766349419530565
253,overallcond,bsmthalfbath,0.08445549693542308
254,overallcond,fullbath,-0.21431592454295378
255,overallcond,halfbath,-0.0881270683238176
256,overallcond,bedroomabvgr,-0.006137385046131614
257,overallcond,kitchenabvgr,-0.08638612211564531
258,overallcond,totrmsabvgrd,-0.08981604440298664
259,overallcond,fireplaces,-0.031702269934390695
260,overallcond,garageyrblt,-0.3260168859310349
261,overallcond,garagecars,-0.1815570536319246
262,overallcond,garagearea,-0.15375390672076564
263,overallcond,wooddecksf,0.02034400048402102
264,overallcond,openporchsf,-0.06893417472840756
265,overallcond,enclosedporch,0.07145901991714897
266,overallcond,3ssnporch,0.043851973920452446
267,overallcond,screenporch,0.044055222174643034
268,overallcond,poolarea,-0.01678713951513778
269,overallcond,miscval,0.034056065828745936
270,overallcond,mosold,-0.00729473615811371
271,overallcond,yrsold,0.03120690730953582
272,overallcond,saleprice,-0.1016969321810065
273,yearbuilt,ames_order,-0.05231935740510978
274,yearbuilt,pid,-0.34338848480000705
275,yearbuilt,mssubclass,0.03657892585201719
276,yearbuilt,lotfrontage,0.12156217873601674
277,yearbuilt,lotarea,0.02325849527473394
278,yearbuilt,overallqual,0.5970272028295865
279,yearbuilt,overallcond,-0.3687731214135405
280,yearbuilt,yearbuilt,1.0
281,yearbuilt,yearremodadd,0.6120952503946815
282,yearbuilt,masvnrarea,0.31329210987347866
283,yearbuilt,bsmtfinsf1,0.2798696693265406
284,yearbuilt,bsmtfinsf2,-0.02741542237711297
285,yearbuilt,bsmtunfsf,0.12899822463491872
286,yearbuilt,totalbsmtsf,0.40752623136718313
287,yearbuilt,1stflrsf,0.3104625452874176
288,yearbuilt,2ndflrsf,0.016827617607873564
289,yearbuilt,lowqualfinsf,-0.14428230341828618
290,yearbuilt,grlivarea,0.24172578752983453
291,yearbuilt,bsmtfullbath,0.2118492939689998
292,yearbuilt,bsmthalfbath,-0.0306264746679408
293,yearbuilt,fullbath,0.4694061879386758
294,yearbuilt,halfbath,0.2692683271437978
295,yearbuilt,bedroomabvgr,-0.05509322912634792
296,yearbuilt,kitchenabvgr,-0.13785174416686324
297,yearbuilt,totrmsabvgrd,0.11191863253760842
298,yearbuilt,fireplaces,0.17067208619298077
299,yearbuilt,garageyrblt,0.8348494976643408
300,yearbuilt,garagecars,0.5374434737131226
301,yearbuilt,garagearea,0.4801313346964973
302,yearbuilt,wooddecksf,0.2289638091951378
303,yearbuilt,openporchsf,0.19836495443497665
304,yearbuilt,enclosedporch,-0.3743644119584816
305,yearbuilt,3ssnporch,0.015803186251011365
306,yearbuilt,screenporch,-0.04143577372375431
307,yearbuilt,poolarea,0.0022127583863713386
308,yearbuilt,miscval,-0.011010994145889177
309,yearbuilt,mosold,0.014577310540117388
310,yearbuilt,yrsold,-0.013196700204147484
311,yearbuilt,saleprice,0.5584261057120451
312,yearremodadd,ames_order,-0.07556617674219761
313,yearremodadd,pid,-0.15711088477067364
314,yearremodadd,mssubclass,0.04339651434757868
315,yearremodadd,lotfrontage,0.09171187353169573
316,yearremodadd,lotarea,0.021682218874783648
317,yearremodadd,overallqual,0.5696087842620875
318,yearremodadd,overallcond,0.047680262885594786
319,yearremodadd,yearbuilt,0.6120952503946815
320,yearremodadd,yearremodadd,1.0
321,yearremodadd,masvnrarea,0.19692760347278787
322,yearremodadd,bsmtfinsf1,0.15178982645261108
323,yearremodadd,bsmtfinsf2,-0.062128640747611576
324,yearremodadd,bsmtunfsf,0.1648048161333448
325,yearremodadd,totalbsmtsf,0.2974809756314818
326,yearremodadd,1stflrsf,0.24210781465639417
327,yearremodadd,2ndflrsf,0.15893858694601942
328,yearremodadd,lowqualfinsf,-0.06036467247549987
329,yearremodadd,grlivarea,0.3168548379837694
330,yearremodadd,bsmtfullbath,0.13438720208622099
331,yearremodadd,bsmthalfbath,-0.04629210869086187
332,yearremodadd,fullbath,0.45726590954979673
333,yearremodadd,halfbath,0.21177075153235375
334,yearremodadd,bedroomabvgr,-0.021536320092818802
335,yearremodadd,kitchenabvgr,-0.14240445947661828
336,yearremodadd,totrmsabvgrd,0.19752839412904605
337,yearremodadd,fireplaces,0.13332213313073432
338,yearremodadd,garageyrblt,0.6523102384076024
339,yearremodadd,garagecars,0.4254033452489777
340,yearremodadd,garagearea,0.3764381815435671
341,yearremodadd,wooddecksf,0.2178565130800881
342,yearremodadd,openporchsf,0.2417482460943927
343,yearremodadd,enclosedporch,-0.22038326512126033
344,yearremodadd,3ssnporch,0.03741237678019553
345,yearremodadd,screenporch,-0.04688797108075337
346,yearremodadd,poolarea,-0.011410244873352534
347,yearremodadd,miscval,-0.0031324005929263673
348,yearremodadd,mosold,0.01804753627822084
349,yearremodadd,yrsold,0.03265176748107453
350,yearremodadd,saleprice,0.5329737540266942
351,masvnrarea,ames_order,-0.030906548979033728
352,masvnrarea,pid,-0.22928319488899598
353,masvnrarea,mssubclass,0.0027301532423836448
354,masvnrarea,lotfrontage,0.22240657772323372
355,masvnrarea,lotarea,0.12682983005484705
356,masvnrarea,overallqual,0.42941797229304063
357,masvnrarea,overallcond,-0.13534034144352436
358,masvnrarea,yearbuilt,0.31329210987347866
359,masvnrarea,yearremodadd,0.19692760347278787
360,masvnrarea,masvnrarea,1.0
361,masvnrarea,bsmtfinsf1,0.3018719628767856
362,masvnrarea,bsmtfinsf2,-0.016019250024856237
363,masvnrarea,bsmtunfsf,0.09166765902138241
364,masvnrarea,totalbsmtsf,0.3970400294667641
365,masvnrarea,1stflrsf,0.3957361202958352
366,masvnrarea,2ndflrsf,0.12180543927284279
367,masvnrarea,lowqualfinsf,-0.05770062486679294
368,masvnrarea,grlivarea,0.4036114356856733
369,masvnrarea,bsmtfullbath,0.14011269823665617
370,masvnrarea,bsmthalfbath,0.015420665288763118
371,masvnrarea,fullbath,0.26015303492901437
372,masvnrarea,halfbath,0.19296485560826185
373,masvnrarea,bedroomabvgr,0.08054588411865271
374,masvnrarea,kitchenabvgr,-0.05099849777799431
375,masvnrarea,totrmsabvgrd,0.27956300287181163
376,masvnrarea,fireplaces,0.2720677109721942
377,masvnrarea,garageyrblt,0.2547838752880221
378,masvnrarea,garagecars,0.3601591548040935
379,masvnrarea,garagearea,0.37345811423483116
380,masvnrarea,wooddecksf,0.16546722867698652
381,masvnrarea,openporchsf,0.14374849886519603
382,masvnrarea,enclosedporch,-0.1107869796508224
383,masvnrarea,3ssnporch,0.013778472829281222
384,masvnrarea,screenporch,0.06564309551876979
385,masvnrarea,poolarea,0.004616908465694021
386,masvnrarea,miscval,0.04493362704407215
387,masvnrarea,mosold,-0.00027648942702464626
388,masvnrarea,yrsold,-0.017714954397350935
389,masvnrarea,saleprice,0.5082848443957281
390,bsmtfinsf1,ames_order,-0.03232148429611221
391,bsmtfinsf1,pid,-0.09837500160950957
392,bsmtfinsf1,mssubclass,-0.060075257238916886
393,bsmtfinsf1,lotfrontage,0.21558328505429644
394,bsmtfinsf1,lotarea,0.1915554435224191
395,bsmtfinsf1,overallqual,0.2841179983741233
396,bsmtfinsf1,overallcond,-0.05093499336002795
397,bsmtfinsf1,yearbuilt,0.2798696693265406
398,bsmtfinsf1,yearremodadd,0.15178982645261108
399,bsmtfinsf1,masvnrarea,0.3018719628767856
400,bsmtfinsf1,bsmtfinsf1,1.0
401,bsmtfinsf1,bsmtfinsf2,-0.05412934231179909
402,bsmtfinsf1,bsmtunfsf,-0.47787457497720737
403,bsmtfinsf1,totalbsmtsf,0.53654719735638
404,bsmtfinsf1,1stflrsf,0.4574721339565819
405,bsmtfinsf1,2ndflrsf,-0.1640135275163894
406,bsmtfinsf1,lowqualfinsf,-0.06617296563743148
407,bsmtfinsf1,grlivarea,0.20963289233702537
408,bsmtfinsf1,bsmtfullbath,0.6400204156661816
409,bsmtfinsf1,bsmthalfbath,0.07754799442772754
410,bsmtfinsf1,fullbath,0.07777241227699117
411,bsmtfinsf1,halfbath,-0.008457459548391635
412,bsmtfinsf1,bedroomabvgr,-0.1189585420586429
413,bsmtfinsf1,kitchenabvgr,-0.08673769876879249
414,bsmtfinsf1,totrmsabvgrd,0.04763059994512516
415,bsmtfinsf1,fireplaces,0.2958823350279893
416,bsmtfinsf1,garageyrblt,0.1942384265836527
417,bsmtfinsf1,garagecars,0.2554831241013155
418,bsmtfinsf1,garagearea,0.30987604596727525
419,bsmtfinsf1,wooddecksf,0.2240098097486701
420,bsmtfinsf1,openporchsf,0.12494717075605627
421,bsmtfinsf1,enclosedporch,-0.10045539407060101
422,bsmtfinsf1,3ssnporch,0.05054074618285443
423,bsmtfinsf1,screenporch,0.09587430607515444
424,bsmtfinsf1,poolarea,0.08413971514055141
425,bsmtfinsf1,miscval,0.09288575795971386
426,bsmtfinsf1,mosold,-0.001155061377700835
427,bsmtfinsf1,yrsold,0.022397376278229072
428,bsmtfinsf1,saleprice,0.4329144106073928
429,bsmtfinsf2,ames_order,-0.002772587808266854
430,bsmtfinsf2,pid,-0.001144918461151877
431,bsmtfinsf2,mssubclass,-0.07094585513337878
432,bsmtfinsf2,lotfrontage,0.045998934427213485
433,bsmtfinsf2,lotarea,0.083149512386996
434,bsmtfinsf2,overallqual,-0.04128705173071736
435,bsmtfinsf2,overallcond,0.04113362846385989
436,bsmtfinsf2,yearbuilt,-0.02741542237711297
437,bsmtfinsf2,yearremodadd,-0.062128640747611576
438,bsmtfinsf2,masvnrarea,-0.016019250024856237
439,bsmtfinsf2,bsmtfinsf1,-0.05412934231179909
440,bsmtfinsf2,bsmtfinsf2,1.0
441,bsmtfinsf2,bsmtunfsf,-0.23861663343252348
442,bsmtfinsf2,totalbsmtsf,0.08995840343421581
443,bsmtfinsf2,1stflrsf,0.08465069574748434
444,bsmtfinsf2,2ndflrsf,-0.09827826458754677
445,bsmtfinsf2,lowqualfinsf,-0.0049988776491797955
446,bsmtfinsf2,grlivarea,-0.018120425785347605
447,bsmtfinsf2,bsmtfullbath,0.1635118686200588
448,bsmtfinsf2,bsmthalfbath,0.09910149409497815
449,bsmtfinsf2,fullbath,-0.07638015401303941
450,bsmtfinsf2,halfbath,-0.03308392474613669
451,bsmtfinsf2,bedroomabvgr,-0.03314273971051832
452,bsmtfinsf2,kitchenabvgr,-0.03788531520757497
453,bsmtfinsf2,totrmsabvgrd,-0.04946479690028551
454,bsmtfinsf2,fireplaces,0.0670980362610106
455,bsmtfinsf2,garageyrblt,-0.06850713049151536
456,bsmtfinsf2,garagecars,-0.0144686646125076
457,bsmtfinsf2,garagearea,0.0033175281868263397
458,bsmtfinsf2,wooddecksf,0.09852750315496803
459,bsmtfinsf2,openporchsf,-0.005587020202244592
460,bsmtfinsf2,enclosedporch,0.032379840999852055
461,bsmtfinsf2,3ssnporch,-0.023325087372432746
462,bsmtfinsf2,screenporch,0.06295078462075918
463,bsmtfinsf2,poolarea,0.04439769473272357
464,bsmtfinsf2,miscval,-0.00520427442724482
465,bsmtfinsf2,mosold,-0.00948417957432169
466,bsmtfinsf2,yrsold,0.00710540426889212
467,bsmtfinsf2,saleprice,0.0058913977835306375
468,bsmtunfsf,ames_order,0.005780015641578209
469,bsmtunfsf,pid,-0.08770661221230788
470,bsmtunfsf,mssubclass,-0.1304210774974892
471,bsmtunfsf,lotfrontage,0.11674279494475429
472,bsmtunfsf,lotarea,0.023658474799269393
473,bsmtunfsf,overallqual,0.2700580054847201
474,bsmtunfsf,overallcond,-0.1368186783595517
475,bsmtunfsf,yearbuilt,0.12899822463491872
476,bsmtunfsf,yearremodadd,0.1648048161333448
477,bsmtunfsf,masvnrarea,0.09166765902138241
478,bsmtunfsf,bsmtfinsf1,-0.47787457497720737
479,bsmtunfsf,bsmtfinsf2,-0.23861663343252348
480,bsmtunfsf,bsmtunfsf,1.0
481,bsmtunfsf,totalbsmtsf,0.4117255075548332
482,bsmtunfsf,1stflrsf,0.29595189153412593
483,bsmtunfsf,2ndflrsf,0.0019803305274062027
484,bsmtunfsf,lowqualfinsf,0.0471761316288797
485,bsmtunfsf,grlivarea,0.23547342031136734
486,bsmtunfsf,bsmtfullbath,-0.399656450963744
487,bsmtunfsf,bsmthalfbath,-0.10606136768089225
488,bsmtunfsf,fullbath,0.2745809695101104
489,bsmtunfsf,halfbath,-0.03387020381080441
490,bsmtunfsf,bedroomabvgr,0.1881461222945265
491,bsmtunfsf,kitchenabvgr,0.06557938684784938
492,bsmtunfsf,totrmsabvgrd,0.2511310535049342
493,bsmtunfsf,fireplaces,0.0013887994432669143
494,bsmtunfsf,garageyrblt,0.1706990195116357
495,bsmtunfsf,garagecars,0.17945051927217184
496,bsmtunfsf,garagearea,0.16423630638114817
497,bsmtunfsf,wooddecksf,-0.03962149612183149
498,bsmtunfsf,openporchsf,0.11888007960171725
499,bsmtunfsf,enclosedporch,0.006228780148799267
500,bsmtunfsf,3ssnporch,-0.005445720706396467
501,bsmtunfsf,screenporch,-0.048083017668174174
502,bsmtunfsf,poolarea,-0.03199920700184414
503,bsmtunfsf,miscval,-0.010166312099330032
504,bsmtunfsf,mosold,0.02156871666371457
505,bsmtunfsf,yrsold,-0.03638415626595829
506,bsmtunfsf,saleprice,0.18285526000400842
507,totalbsmtsf,ames_order,-0.02871922563559063
508,totalbsmtsf,pid,-0.18964166941757224
509,totalbsmtsf,mssubclass,-0.21944515117424987
510,totalbsmtsf,lotfrontage,0.35377268636732623
511,totalbsmtsf,lotarea,0.25358856566694377
512,totalbsmtsf,overallqual,0.5472940489040146
513,totalbsmtsf,overallcond,-0.17334407740809746
514,totalbsmtsf,yearbuilt,0.40752623136718313
515,totalbsmtsf,yearremodadd,0.2974809756314818
516,totalbsmtsf,masvnrarea,0.3970400294667641
517,totalbsmtsf,bsmtfinsf1,0.53654719735638
518,totalbsmtsf,bsmtfinsf2,0.08995840343421581
519,totalbsmtsf,bsmtunfsf,0.4117255075548332
520,totalbsmtsf,totalbsmtsf,1.0
521,totalbsmtsf,1stflrsf,0.8007203902506776
522,totalbsmtsf,2ndflrsf,-0.2053454543985978
523,totalbsmtsf,lowqualfinsf,-0.02328521246318596
524,totalbsmtsf,grlivarea,0.4446752427971945
525,totalbsmtsf,bsmtfullbath,0.3262324264922732
526,totalbsmtsf,bsmthalfbath,0.012468827456684952
527,totalbsmtsf,fullbath,0.324973033504825
528,totalbsmtsf,halfbath,-0.055231099801128725
529,totalbsmtsf,bedroomabvgr,0.0519410106233293
530,totalbsmtsf,kitchenabvgr,-0.03881879264303407
531,totalbsmtsf,totrmsabvgrd,0.28075029563612036
532,totalbsmtsf,fireplaces,0.3330855752251759
533,totalbsmtsf,garageyrblt,0.3475712122690924
534,totalbsmtsf,garagecars,0.43760771084020905
535,totalbsmtsf,garagearea,0.48550440477616125
536,totalbsmtsf,wooddecksf,0.22993119488243238
537,totalbsmtsf,openporchsf,0.2456265040870878
538,totalbsmtsf,enclosedporch,-0.08522494870283792
539,totalbsmtsf,3ssnporch,0.03787130838421279
540,totalbsmtsf,screenporch,0.07534136074424798
541,totalbsmtsf,poolarea,0.07212760472980378
542,totalbsmtsf,miscval,0.0839042268090151
543,totalbsmtsf,mosold,0.016678197876358256
544,totalbsmtsf,yrsold,-0.010404941675136593
545,totalbsmtsf,saleprice,0.632280457106513
546,1stflrsf,ames_order,-0.013201334615269414
547,1stflrsf,pid,-0.1419016214578436
548,1stflrsf,mssubclass,-0.24782811989387057
549,1stflrsf,lotfrontage,0.4573914540102983
550,1stflrsf,lotarea,0.33223498083235187
551,1stflrsf,overallqual,0.47783707269186415
552,1stflrsf,overallcond,-0.1570515117761974
553,1stflrsf,yearbuilt,0.3104625452874176
554,1stflrsf,yearremodadd,0.24210781465639417
555,1stflrsf,masvnrarea,0.3957361202958352
556,1stflrsf,bsmtfinsf1,0.4574721339565819
557,1stflrsf,bsmtfinsf2,0.08465069574748434
558,1stflrsf,bsmtunfsf,0.29595189153412593
559,1stflrsf,totalbsmtsf,0.8007203902506776
560,1stflrsf,1stflrsf,1.0
561,1stflrsf,2ndflrsf,-0.2500572012022229
562,1stflrsf,lowqualfinsf,-0.012688737731056962
563,1stflrsf,grlivarea,0.5621658429320108
